selector_id,selector_name,period,n,pending,mean_pct,median_pct,win_pct,plus10_pct,plus20_pct,minus10_pct,minus20_pct,max_up_pct,max_down_pct,top3_ex_mean_pct,cash_pl_100_yen,required_capital_yen,capital_return_pct,simple_annualized_pct
body_pct_low,Dive,2024-03,9,0,1.78054968289,4.89913544669,55.5555555556,33.3333333333,0,22.2222222222,0,19.4366197183,-14.5161290323,-4.76621118659,7700,174800,4.40503432494,53.6301916476
body_pct_low,Dive,2024-04,8,0,-5.39547467271,-2.37654320988,50,12.5,0,50,12.5,10.4,-41.9230769231,-13.6465018076,-25300,193300,-13.0884635282,-191.218525608
body_pct_low,Dive,2024-05,7,0,22.6537949259,12.5,71.4285714286,57.1428571429,28.5714285714,14.2857142857,0,111.111111111,-12.8378378378,-0.565046580663,13800,69800,19.770773639,313.962034384
body_pct_low,Dive,2024-06,5,0,20.5280598248,2.47452692868,60,20,20,0,0,91.5697674419,-1.16009280742,-0.58004640371,64875,137500,47.1818181818,820.609772727
body_pct_low,Dive,2024-07,8,0,12.0015433595,0.668410345829,50,37.5,25,37.5,0,91.1428615025,-13.3333333333,-6.73025490929,20860.0006104,230600,9.0459673072,127.075835162
body_pct_low,Dive,2024-08,6,0,15.0176813545,4.98062603347,83.3333333333,33.3333333333,16.6666666667,16.6666666667,0,76.2962962963,-12.5567322239,-2.4929396414,9490.00015259,201560.00061,4.70827551292,95.5367955016
body_pct_low,Dive,2024-09,10,0,-7.7696514135,-7.01492537314,10,10,10,40,20,22.2222222222,-23.6363636364,-13.8240085931,-44196.6621399,214219.999695,-20.6314360017,-228.347795874
body_pct_low,Dive,2024-10,13,0,4.75381926962,1.38888888889,53.8461538462,23.0769230769,23.0769230769,30.7692307692,7.69230769231,51.5527950311,-21.0053859964,-5.93691575979,-1966.66870117,264400,-0.743823260654,-7.76216763656
body_pct_low,Dive,2024-11,3,0,4.46461809555,8.91938392966,66.6666666667,33.3333333333,33.3333333333,33.3333333333,33.3333333333,30.7456567977,-26.2711864407,,5000,42900,11.655011655,304.064685315
body_pct_low,Dive,2024-12,3,0,31.6026676025,11.6883116883,66.6666666667,66.6666666667,33.3333333333,33.3333333333,33.3333333333,105.405405405,-22.2857142857,,33000,33300,99.0990990991,1005.4222973
body_pct_low,Dive,2025-01,6,0,2.76317896731,1.72965527438,50,16.6666666667,0,0,0,17.0520231214,-8.70004917236,-5.20269361034,5259.9975586,183380.001831,2.86835942092,61.6262803409
body_pct_low,Dive,2025-02,6,0,-5.52673368879,-6.81809734797,33.3333333333,0,0,33.3333333333,0,5.82010795593,-17.731629393,-12.7208932747,-30939.9993897,272900,-11.337486035,-138.031058105
body_pct_low,Dive,2025-03,3,0,8.5077086233,22.8070175439,66.6666666667,66.6666666667,66.6666666667,33.3333333333,33.3333333333,30.8851224105,-28.1690140845,,33400,106200,31.450094162,370.545516676
body_pct_low,Dive,2025-04,1,0,31.1827956989,31.1827956989,100,100,100,0,0,31.1827956989,31.1827956989,,2900,9300,31.1827956989,1627.04032258
body_pct_low,Dive,2025-05,6,0,0.79866885399,2.56477968142,50,50,0,33.3333333333,0,15.7480314961,-16.2337662338,-13.3810633811,-630.00030517,48809.9998474,-1.29071974419,-27.7309238922
body_pct_low,Dive,2025-06,3,0,32.881380828,27.6041666667,66.6666666667,66.6666666667,66.6666666667,33.3333333333,0,82.8571428571,-11.8171670399,,7140.00015259,22700,31.4537451656,638.235806591
body_pct_low,Dive,2025-07,5,0,2.60514283826,-6.81818790851,40,40,20,40,0,24.4680851064,-12.5,-11.4787581699,239.999389648,31900,0.75234918385,10.5688421839
body_pct_low,Dive,2025-08,1,0,-10.8527131783,-10.8527131783,0,0,0,100,0,-10.8527131783,-10.8527131783,,-4200,38700,-10.8527131783,-566.26744186
body_pct_low,Dive,2025-09,1,0,-19.8335644938,-19.8335644938,0,0,0,100,0,-19.8335644938,-19.8335644938,,-7150,36050,-19.8335644938,-1034.86581137
body_pct_low,Dive,2025-10,5,0,10.121533272,-7.29411764706,20,20,20,20,0,84.1176470588,-14.6666666667,-11.3196625701,45966.6687012,112400,40.8956127235,373.420395754
body_pct_low,Dive,2025-11,2,0,73.4615384616,73.4615384616,100,100,50,0,0,130,16.9230769231,,8900,12500,71.2,2600.5266
body_pct_low,Dive,2025-12,5,0,-5.01098853832,-13.3333333333,40,40,20,60,40,31.3627254509,-39.8692810458,-31.4346405229,34000,192800,17.6348547718,268.374935166
body_pct_low,Dive,2026-01,2,0,13.9535315985,13.9535315985,100,50,50,0,0,24.907063197,3,,14300,53800,26.5799256506,693.437035316
body_pct_low,Dive,2026-02,3,0,15.5534538321,2.9689608637,66.6666666667,33.3333333333,33.3333333333,0,0,51.1475409836,-7.45614035088,,30000,106600,28.1425891182,411.15478424
body_pct_low,Dive,2026-03,12,0,10.7305744504,11.2466843501,58.3333333333,58.3333333333,33.3333333333,16.6666666667,0,43.216080402,-18.4705882353,1.77550629701,64150,274600,23.3612527312,243.786352877
body_pct_low,Dive,2026-04,8,0,-0.539029803989,-7.05594075936,37.5,37.5,25,50,25,32.5925925926,-25.9212198221,-14.9306423857,-8050,217750,-3.69690011481,-37.5073622273
