detection_id,signal_date,symbol,company_name,signal_close,signal_volume,selector_id,selector_name,model_period,status,entry_date,entry_open,fifth_xtks_exit_date,fifth_xtks_exit_close,gross_return,one_hundred_shares_pl_yen,med_ret5,med_ret1,ret10,volr20,body_pct,rank_volr20,rank_body_pct,mean_rank,tail_cdf,tail_p,source_scope,source_sha256,signal_discord_url,notified_at,fundamental_status,fundamental_discord_url,fundamental_html,created_at,updated_at
2024-03-06|2330|body_pct_low,2024-03-06,2330,フォーサイド,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-07,355,2024-03-13,424,0.194366197183,6900,0,,0.272030651341,0.748334533173,-0.48,0.666666666667,0.333333333333,0.5,0.999864120705,0.8473493,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-06|2330|mean_rank_volr20_body_pct,2024-03-06,2330,フォーサイド,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-07,355,2024-03-13,424,0.194366197183,6900,0,,0.272030651341,0.748334533173,-0.48,0.666666666667,0.333333333333,0.5,0.999864120705,0.8473493,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-06|7692|volr20_low,2024-03-06,7692,アースインフィニティ,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-07,144,2024-03-13,135,-0.0625,-900,0,,0.252100840336,0.325278216274,-0.05,0.333333333333,0.666666666667,0.5,0.999417922479,0.82445216,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-07|6276|body_pct_low,2024-03-07,6276,シリウスビジョン,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-08,634,2024-03-14,581,-0.083596214511,-5300,-0.000593294258775,,0.228682170543,1.04647601014,-0.72380952381,0.75,0.25,0.5,0.999015793214,0.81242704,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-07|7692|mean_rank_volr20_body_pct,2024-03-07,7692,アースインフィニティ,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-08,150,2024-03-14,132,-0.12,-1800,-0.000593294258775,,0.271929824561,0.291108737676,0.0555555555556,0.25,0.75,0.5,0.999719060376,0.8376135,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-07|7692|volr20_low,2024-03-07,7692,アースインフィニティ,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-08,150,2024-03-14,132,-0.12,-1800,-0.000593294258775,,0.271929824561,0.291108737676,0.0555555555556,0.25,0.75,0.5,0.999719060376,0.8376135,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-11|2330|body_pct_low,2024-03-11,2330,フォーサイド,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-12,347,2024-03-18,364,0.0489913544669,1700,-0.00567386160606,,-0.0586666666667,0.356917619676,0.346153846154,0.25,0.25,0.25,0.999485862127,0.82768154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-11|2330|dual_top1_agreement,2024-03-11,2330,フォーサイド,,,dual_top1_agreement,2条件一致リバウンド,2024-03,mature,2024-03-12,347,2024-03-18,364,0.0489913544669,1700,-0.00567386160606,,-0.0586666666667,0.356917619676,0.346153846154,0.25,0.25,0.25,0.999485862127,0.82768154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-11|2330|mean_rank_volr20_body_pct,2024-03-11,2330,フォーサイド,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-12,347,2024-03-18,364,0.0489913544669,1700,-0.00567386160606,,-0.0586666666667,0.356917619676,0.346153846154,0.25,0.25,0.25,0.999485862127,0.82768154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-11|2330|volr20_low,2024-03-11,2330,フォーサイド,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-12,347,2024-03-18,364,0.0489913544669,1700,-0.00567386160606,,-0.0586666666667,0.356917619676,0.346153846154,0.25,0.25,0.25,0.999485862127,0.82768154,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-12|9704|body_pct_low,2024-03-12,9704,アゴーラ　ホスピタリティー　グループ,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-13,62,2024-03-19,53,-0.145161290323,-900,-0.00235572567588,,0.540540540541,1.38373840537,-0.222222222222,0.8,0.2,0.5,0.999105767342,0.81510055,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-12|2330|mean_rank_volr20_body_pct,2024-03-12,2330,フォーサイド,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-13,385,2024-03-19,370,-0.038961038961,-1500,-0.00235572567588,,-0.186813186813,0.450984297152,0.657142857143,0.2,0.4,0.3,0.99923981043,0.8191597,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-12|2330|volr20_low,2024-03-12,2330,フォーサイド,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-13,385,2024-03-19,370,-0.038961038961,-1500,-0.00235572567588,,-0.186813186813,0.450984297152,0.657142857143,0.2,0.4,0.3,0.99923981043,0.8191597,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-13|3744|body_pct_low,2024-03-13,3744,サイオス,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-14,705,2024-03-21,791,0.121985815603,8600,-0.0121733352151,,0.351351351351,1.86014874835,-0.744360902256,1,0.333333333333,0.666666666667,0.99947300868,0.8272186,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-13|5216|mean_rank_volr20_body_pct,2024-03-13,5216,倉元製作所,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-14,160,2024-03-21,175,0.09375,1500,-0.0121733352151,,0.470085470085,0.925752428631,-0.606060606061,0.333333333333,0.666666666667,0.5,0.99952258626,0.82940125,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-13|5216|volr20_low,2024-03-13,5216,倉元製作所,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-14,160,2024-03-21,175,0.09375,1500,-0.0121733352151,,0.470085470085,0.925752428631,-0.606060606061,0.333333333333,0.666666666667,0.5,0.99952258626,0.82940125,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-14|2330|body_pct_low,2024-03-14,2330,フォーサイド,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-15,385,2024-03-22,435,0.12987012987,5000,-0.0036652426628,,-0.381102362205,0.825280111549,-0.35,0.4,0.2,0.3,0.999434448339,0.825173,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-14|2330|mean_rank_volr20_body_pct,2024-03-14,2330,フォーサイド,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-15,385,2024-03-22,435,0.12987012987,5000,-0.0036652426628,,-0.381102362205,0.825280111549,-0.35,0.4,0.2,0.3,0.999434448339,0.825173,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-14|9704|volr20_low,2024-03-14,9704,アゴーラ　ホスピタリティー　グループ,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-15,52,2024-03-22,56,0.0769230769231,400,-0.0036652426628,,0.35,0.270625610584,0.2,0.2,0.6,0.4,0.99924531905,0.81937397,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-15|6659|body_pct_low,2024-03-15,6659,メディアリンクス,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-18,82,2024-03-25,87,0.0609756097561,500,-0.00626335141458,,-0.234693877551,0.347861312631,-0.692307692308,1,1,1,0.999291224217,0.8206819,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-15|6659|dual_top1_agreement,2024-03-15,6659,メディアリンクス,,,dual_top1_agreement,2条件一致リバウンド,2024-03,mature,2024-03-18,82,2024-03-25,87,0.0609756097561,500,-0.00626335141458,,-0.234693877551,0.347861312631,-0.692307692308,1,1,1,0.999291224217,0.8206819,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-15|6659|dual_top1_agreement_g3_no_acute_selloff,2024-03-15,6659,メディアリンクス,,,dual_top1_agreement_g3_no_acute_selloff,地合い安定・2条件一致,2024-03,mature,2024-03-18,82,2024-03-25,87,0.0609756097561,500,-0.00626335141458,,-0.234693877551,0.347861312631,-0.692307692308,1,1,1,0.999291224217,0.8206819,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-15|6659|mean_rank_volr20_body_pct,2024-03-15,6659,メディアリンクス,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-18,82,2024-03-25,87,0.0609756097561,500,-0.00626335141458,,-0.234693877551,0.347861312631,-0.692307692308,1,1,1,0.999291224217,0.8206819,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-15|6659|volr20_low,2024-03-15,6659,メディアリンクス,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-18,82,2024-03-25,87,0.0609756097561,500,-0.00626335141458,,-0.234693877551,0.347861312631,-0.692307692308,1,1,1,0.999291224217,0.8206819,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-28|6276|body_pct_low,2024-03-28,6276,シリウスビジョン,,,body_pct_low,陰線沈み込みリバウンド,2024-03,mature,2024-03-29,776,2024-04-04,698,-0.100515463918,-7800,-0.0127743258227,,0.391525423729,2.94692876322,0.816901408451,1,1,1,0.999320603524,0.8217702,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-28|6276|dual_top1_agreement,2024-03-28,6276,シリウスビジョン,,,dual_top1_agreement,2条件一致リバウンド,2024-03,mature,2024-03-29,776,2024-04-04,698,-0.100515463918,-7800,-0.0127743258227,,0.391525423729,2.94692876322,0.816901408451,1,1,1,0.999320603524,0.8217702,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-28|6276|mean_rank_volr20_body_pct,2024-03-28,6276,シリウスビジョン,,,mean_rank_volr20_body_pct,静かな売られ過ぎバランス,2024-03,mature,2024-03-29,776,2024-04-04,698,-0.100515463918,-7800,-0.0127743258227,,0.391525423729,2.94692876322,0.816901408451,1,1,1,0.999320603524,0.8217702,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
2024-03-28|6276|volr20_low,2024-03-28,6276,シリウスビジョン,,,volr20_low,出来高沈静リバウンド,2024-03,mature,2024-03-29,776,2024-04-04,698,-0.100515463918,-7800,-0.0127743258227,,0.391525423729,2.94692876322,0.816901408451,1,1,1,0.999320603524,0.8217702,EXACT_CANONICAL_2023_2026,,,,not_requested_historical,,,2026-09-19T23:38:33.900788+09:00,2026-09-19T23:38:33.900788+09:00
